# Bad Apple
# Converted from SkyStudio format
# BPM: 240
# Total chords: 279

Time,Keys,Duration
0.00,A2B2D3,0.25
0.25,D#3,0.25
0.50,A2B2E3,0.25
0.75,F3,0.25
1.00,A2B2F#3,0.50
1.50,A2A3B2,0.25
1.75,A2B2G#3,0.25
2.00,A2B2F#3,0.50
2.50,A2B2D3,0.50
3.00,A2B2F#3,0.25
3.25,F3,0.25
3.50,A2B2E3,0.25
3.75,A#2A2B2D#3,0.25
4.00,A2C3D3,0.25
4.25,D#3,0.25
4.50,A2C3E3,0.25
4.75,F3,0.25
5.00,A2C3F#3,0.50
5.50,A2C3F3,0.25
5.75,A2C3E3,0.25
6.00,A#2C#3D#3,0.25
6.25,D3,0.25
6.50,A#2C#3D#3,0.25
6.75,D3,0.25
7.00,A#2C#3,0.50
7.50,A#2C#3D#3,0.25
7.75,E3,0.25
8.00,A#2C#3D#3,0.25
8.25,D3,0.25
8.50,A#2C#3,0.25
8.75,A#2C#3D#3,0.25
9.00,A2B2D3,0.25
9.25,D#3,0.25
9.50,A2B2E3,0.25
9.75,F3,0.25
10.00,A2B2F#3,0.25
10.25,A2B2D3,0.25
10.50,A2B2G#3,0.25
10.75,A2B2F#3,0.25
11.00,A2B2D3,0.25
11.25,A2B2F#3,0.25
11.50,F3,0.25
11.75,A2B2E3,0.25
12.00,A2B2D#3,0.25
12.25,A2C3D3,0.25
12.50,D#3,0.25
12.75,A2C3E3,0.25
13.00,F3,0.25
13.25,A2C3F#3,0.50
13.75,A2C3F3,0.25
14.00,A2C3E3,0.25
14.25,A#2C#3D#3,0.25
14.50,A#2C#3E3,0.25
14.75,A#2C#3F3,0.25
15.00,A#2C#3,0.25
15.25,A#2C#3,0.25
15.50,A#2C#3,0.25
15.75,A#2C#3F#3,0.25
16.00,A2B2D3,0.25
16.25,D#3,0.25
16.50,A2B2E3,0.25
16.75,F3,0.25
17.00,A2B2F#3,0.25
17.25,A2A3B2,0.25
17.50,A2B2G#3,0.25
17.75,A2B2F#3,0.25
18.00,A2B2D3,0.50
18.50,A2B2F#3,0.25
18.75,F3,0.25
19.00,A2B2E3,0.25
19.25,A#2A2D#3,0.25
19.50,A2C3D#3,0.25
19.75,D#3,0.25
20.00,A2C3E3,0.50
20.50,A#2C#3D#3,0.25
20.75,D3,0.25
21.00,A#2C#3D#3,0.25
21.25,E3,0.25
21.50,A#2C#3D#3,0.25
21.75,D3,0.25
22.00,A#2C#3,0.25
22.25,A#2C#3D#3,0.25
22.50,A2B2D3,0.25
22.75,D#3,0.25
23.00,A2B2E3,0.25
23.25,F3,0.25
23.50,A2B2F#3,0.50
24.00,A2A3B2,0.25
24.25,A2B2G#3,0.25
24.50,A2B2F#3,0.25
24.75,F3,0.25
25.00,A2B2E3,0.25
25.25,A#2A2D#3,0.25
25.50,A2C3D3,0.25
25.75,D#3,0.25
26.00,A2C3E3,0.25
26.25,A#2C#3D#3,0.25
26.50,A#2E3,0.25
26.75,A#2C#3F3,0.25
27.00,A#2C#3F#3,0.25
27.25,C3D3G#3,0.25
27.50,A3,0.25
27.75,C3D3F#3,0.25
28.00,F3,0.25
28.25,C3D3F#3,0.25
28.50,C3D#3D3,0.25
28.75,C3D3F#3,0.25
29.00,C#3,0.25
29.25,D#3G#3,0.25
29.50,A3,0.25
29.75,C#3D#3F#3,0.25
30.00,F3,0.25
30.25,C3D#3F#3,0.50
30.75,C#3D#3F3,0.25
31.00,F#3,0.25
31.25,B2D3F3,0.25
31.50,E3,0.25
31.75,B2D#3D3,0.25
32.00,C#3,0.25
32.25,B2D3,0.50
32.75,A#2C#3D3,0.25
33.00,B2D3,0.25
33.25,A2D#3,0.25
33.50,E3,0.25
33.75,A2B2F3,0.25
34.00,F#3,0.25
34.25,A2B2D3,0.50
34.75,A2B2F#3,0.25
35.00,G#3,0.25
35.25,C3D3G#3,0.25
35.50,A3,0.25
35.75,C3D3F#3,0.25
36.00,F3,0.25
36.25,C3D3F#3,0.25
36.50,C3D3,0.25
36.75,C3D3F3,0.25
37.00,C3D3F#3,0.25
37.25,C#3D#3G#3,0.25
37.50,A3,0.25
37.75,C#3D#3F#3,0.25
38.00,F3,0.25
38.25,C#3D#3F#3,0.25
38.50,C#3D#3,0.25
38.75,D#3,0.25
39.00,C#3D#3F3,0.25
39.25,F#3,0.25
39.50,B2D3F3,0.25
39.75,E3,0.25
40.00,B2D#3D3,0.25
40.25,C#3,0.25
40.50,B2D3,0.25
40.75,B2C#3D3,0.25
41.00,B2D3,0.25
41.25,A2D#3,0.25
41.50,E3,0.25
41.75,A2B2F3,0.25
42.00,F#3,0.25
42.25,A2B2D3,0.50
42.75,A2B2F#3,0.25
43.00,G#3,0.25
43.25,C3D3G#3,0.25
43.50,A3,0.25
43.75,C3D3F#3,0.25
44.00,F3,0.25
44.25,C3D3F#3,0.25
44.50,C3D3,0.25
44.75,C3D3F3,0.25
45.00,C3D3F#3,0.25
45.25,C#3D#3G#3,0.25
45.50,A3,0.25
45.75,C#3D#3F#3,0.25
46.00,F3,0.25
46.25,C#3D#3F#3,0.25
46.50,C#3D#3,0.25
46.75,A3,0.25
47.00,A#3,0.25
47.25,B2C4D3,0.25
47.50,A#3,0.25
47.75,A3,0.25
48.00,G#3,0.25
48.25,B2D3F#3,0.50
48.75,F3,0.25
49.00,F#3,0.25
49.25,B2D3F3,0.25
49.50,E3,0.25
49.75,D#3,0.25
50.00,D3,0.25
50.25,A2B2,0.50
50.75,F#3,0.25
51.00,G#3,0.25
51.25,C3D3G#3,0.25
51.50,A3,0.25
51.75,F#3,0.25
52.00,F3,0.25
52.25,D3F#3,0.25
52.50,C3,0.25
52.75,F3,0.25
53.00,F#3,0.25
53.25,C#3D#3G#3,0.25
53.50,A3,0.25
53.75,F#3,0.25
54.00,F3,0.25
54.25,D#3F#3,0.25
54.50,C#3,0.25
54.75,F3,0.25
55.00,F#3,0.25
55.25,B2F3,0.25
55.50,E3,0.25
55.75,D#3,0.25
